GEOID1,STATE,NET_COUNTY,NET_PERM,NET_TEMP,NET_RESIDENTIAL,FULL1_NAME,net,difference
50021,VT,-858,-673,18,-833,"Rutland County, Vermont",-895,-37
28021,MS,79,51,0,69,"Claiborne County, Mississippi",42,-37
51091,VA,26,-1,0,0,"Highland County, Virginia",-10,-36
46117,SD,-50,-23,-13,-46,"Stanley County, South Dakota",-86,-36
29025,MO,-81,9,-26,-50,"Caldwell County, Missouri",-117,-36
27001,MN,-428,176,-558,-521,"Aitkin County, Minnesota",-461,-33
12079,FL,-21,-21,-15,-38,"Madison County, Florida",-53,-32
48431,TX,-33,-31,0,0,"Sterling County, Texas",-65,-32
51125,VA,115,165,12,159,"Nelson County, Virginia",84,-31
13191,GA,-196,-162,-26,-234,"McIntosh County, Georgia",-227,-31
21223,KY,-156,-128,0,-210,"Trimble County, Kentucky",-187,-31
48125,TX,24,26,0,27,"Dickens County, Texas",-7,-31
37175,NC,836,268,546,802,"Transylvania County, North Carolina",806,-30
31133,NE,57,60,0,16,"Pawnee County, Nebraska",27,-30
46053,SD,4,31,0,-13,"Gregory County, South Dakota",-25,-29
46017,SD,-240,-213,0,-287,"Buffalo County, South Dakota",-268,-28
46007,SD,-24,-22,0,0,"Bennett County, South Dakota",-52,-28
49037,UT,-113,-155,5,-121,"San Juan County, Utah",-141,-28
46085,SD,-21,-1,0,-30,"Lyman County, South Dakota",-48,-27
21195,KY,-536,-485,-36,-448,"Pike County, Kentucky",-562,-26
39001,OH,-813,-752,0,-890,"Adams County, Ohio",-837,-24
49055,UT,-24,-14,0,3,"Wayne County, Utah",-48,-24
39119,OH,-1229,-936,-188,-1192,"Muskingum County, Ohio",-1252,-23
48159,TX,-35,-2,-31,-77,"Franklin County, Texas",-58,-23
8095,CO,-28,6,0,-96,"Phillips County, Colorado",-51,-23
22059,LA,-68,-68,0,-120,"LaSalle Parish, Louisiana",-90,-22
48433,TX,-33,-43,0,-26,"Stonewall County, Texas",-55,-22
29075,MO,-183,-127,0,-117,"Gentry County, Missouri",-204,-21
1133,AL,-34,24,0,-16,"Winston County, Alabama",-52,-18
37145,NC,161,118,11,119,"Person County, North Carolina",144,-17
38085,ND,3,-31,0,-12,"Sioux County, North Dakota",-14,-17
2110,AK,-260,-206,-42,-227,"Juneau City and Borough, Alaska",-277,-17
13287,GA,71,53,0,42,"Turner County, Georgia",55,-16
17121,IL,-888,-782,-116,-825,"Marion County, Illinois",-904,-16
20181,KS,-68,-57,0,-69,"Sherman County, Kansas",-84,-16
40099,OK,-211,-229,0,-191,"Murray County, Oklahoma",-227,-16
37005,NC,-54,-115,40,-103,"Alleghany County, North Carolina",-68,-14
13101,GA,-62,-91,11,-53,"Echols County, Georgia",-76,-14
48233,TX,-595,-575,0,-622,"Hutchinson County, Texas",-609,-14
31009,NE,4,-1,0,0,"Blaine County, Nebraska",-10,-14
48507,TX,-37,-14,0,-27,"Zavala County, Texas",-50,-13
28035,MS,-2390,-2409,-60,-2259,"Forrest County, Mississippi",-2401,-11
13265,GA,-79,-50,0,-92,"Taliaferro County, Georgia",-89,-10
27031,MN,-80,-73,36,-14,"Cook County, Minnesota",-90,-10
38037,ND,-7,51,-11,-49,"Grant County, North Dakota",-17,-10
1007,AL,267,236,-1,285,"Bibb County, Alabama",259,-8
28065,MS,-235,-203,0,-278,"Jefferson Davis County, Mississippi",-243,-8
37185,NC,11,87,-32,-90,"Warren County, North Carolina",4,-7
45033,SC,-33,11,12,-45,"Dillon County, South Carolina",-39,-6
28063,MS,32,-26,42,-14,"Jefferson County, Mississippi",27,-5
19051,IA,-284,-236,-15,-156,"Davis County, Iowa",-289,-5
20201,KS,-125,-89,0,-6,"Washington County, Kansas",-130,-5
48197,TX,-5,13,0,46,"Hardeman County, Texas",-10,-5
21215,KY,204,290,-18,237,"Spencer County, Kentucky",200,-4
22091,LA,182,219,-11,266,"St. Helena Parish, Louisiana",178,-4
72125,PR,-11,0,0,-56,"San Germán Municipio, Puerto Rico",-14,-3
13007,GA,-20,19,-12,-5,"Baker County, Georgia",-23,-3
47153,TN,166,246,-83,255,"Sequatchie County, Tennessee",163,-3
48257,TX,4146,4136,-70,4166,"Kaufman County, Texas",4143,-3
46071,SD,-40,10,0,-11,"Jackson County, South Dakota",-43,-3
38095,ND,-151,-107,-11,-61,"Towner County, North Dakota",-153,-2
48267,TX,101,99,-13,12,"Kimble County, Texas",99,-2
16075,ID,49,105,-103,-3,"Payette County, Idaho",47,-2
35019,NM,-33,-37,0,-37,"Guadalupe County, New Mexico",-34,-1
54105,WV,-1,-50,0,-39,"Wirt County, West Virginia",-1,0
13307,GA,46,47,0,75,"Webster County, Georgia",46,0
12039,FL,-70,-82,-32,-3,"Gadsden County, Florida",-70,0
30107,MT,20,0,0,1,"Wheatland County, Montana",21,1
54025,WV,-337,-354,9,-306,"Greenbrier County, West Virginia",-335,2
20095,KS,-127,-131,0,-154,"Kingman County, Kansas",-125,2
48311,TX,-55,-76,0,-46,"McMullen County, Texas",-53,2
51690,VA,-452,-425,-20,-441,"Martinsville city, Virginia",-448,4
20129,KS,-87,-99,0,-40,"Morton County, Kansas",-83,4
31113,NE,-15,-33,0,0,"Logan County, Nebraska",-11,4
50013,VT,-153,-122,-13,-134,"Grand Isle County, Vermont",-147,6
40107,OK,-226,-220,-40,-204,"Okfuskee County, Oklahoma",-220,6
30079,MT,-77,-92,13,-100,"Prairie County, Montana",-70,7
48359,TX,-86,-84,0,-63,"Oldham County, Texas",-79,7
19105,IA,-487,-299,-73,-289,"Jones County, Iowa",-477,10
8115,CO,31,55,-11,38,"Sedgwick County, Colorado",41,10
2016,AK,-19,-18,-2,-8,"Aleutians West Census Area, Alaska",-9,10
49031,UT,12,12,0,0,"Piute County, Utah",22,10
51683,VA,-349,-398,10,-238,"Manassas city, Virginia",-338,11
23023,ME,-68,-115,92,-45,"Sagadahoc County, Maine",-56,12
37107,NC,-535,-541,-15,-531,"Lenoir County, North Carolina",-523,12
13229,GA,-837,-851,15,-846,"Pierce County, Georgia",-825,12
48109,TX,-48,-49,0,-33,"Culberson County, Texas",-36,12
53069,WA,-170,-67,-104,-158,"Wahkiakum County, Washington",-158,12
18125,IN,-267,-225,-22,-344,"Pike County, Indiana",-254,13
48495,TX,-12,-32,0,-57,"Winkler County, Texas",1,13
8033,CO,17,13,0,-4,"Dolores County, Colorado",30,13
49009,UT,-7,12,8,-2,"Daggett County, Utah",6,13
31085,NE,-89,-74,0,-22,"Hayes County, Nebraska",-75,14
5085,AR,-1221,-1223,20,-1217,"Lonoke County, Arkansas",-1207,14
48447,TX,-31,-54,0,-122,"Throckmorton County, Texas",-17,14
72083,PR,21,19,0,15,"Las Marías Municipio, Puerto Rico",35,14
51029,VA,-101,-133,23,-39,"Buckingham County, Virginia",-86,15
12121,FL,467,399,71,374,"Suwannee County, Florida",482,15
1129,AL,-90,-78,0,-63,"Washington County, Alabama",-75,15
31007,NE,-163,-117,0,-124,"Banner County, Nebraska",-148,15
32033,NV,-7,44,0,-4,"White Pine County, Nevada",8,15
28017,MS,-391,-410,0,-465,"Chickasaw County, Mississippi",-375,16
30033,MT,-13,0,0,0,"Garfield County, Montana",3,16
51037,VA,-97,-81,0,-173,"Charlotte County, Virginia",-80,17
29223,MO,-122,-110,0,-140,"Wayne County, Missouri",-104,18
48111,TX,-428,-380,0,-322,"Dallam County, Texas",-410,18
13301,GA,-258,-275,-1,-231,"Warren County, Georgia",-239,19
21141,KY,-470,-466,-24,-352,"Logan County, Kentucky",-450,20
19185,IA,-275,-218,3,-205,"Wayne County, Iowa",-255,20
27075,MN,-71,36,-75,-74,"Lake County, Minnesota",-51,20
46025,SD,-154,-97,-52,-287,"Clark County, South Dakota",-134,20
30055,MT,-43,-14,-11,-47,"McCone County, Montana",-23,20
28077,MS,4,18,0,-57,"Lawrence County, Mississippi",26,22
13239,GA,9,6,0,14,"Quitman County, Georgia",31,22
55123,WI,-400,-229,-78,-279,"Vernon County, Wisconsin",-378,22
13061,GA,1,-18,11,-1,"Clay County, Georgia",24,23
51735,VA,122,119,13,116,"Poquoson city, Virginia",146,24
40111,OK,-228,-222,-40,-212,"Okmulgee County, Oklahoma",-204,24
6091,CA,-132,-108,0,-45,"Sierra County, California",-108,24
2195,AK,-15,7,7,5,"Petersburg Borough, Alaska",9,24
31129,NE,-164,-142,0,-180,"Nuckolls County, Nebraska",-138,26
5035,AR,-785,-762,-18,-728,"Crittenden County, Arkansas",-759,26
48269,TX,-102,-64,0,-15,"King County, Texas",-76,26
37199,NC,-54,-215,182,-82,"Yancey County, North Carolina",-27,27
27151,MN,-135,-64,-27,-200,"Swift County, Minnesota",-108,27
48107,TX,-86,-107,0,-32,"Crosby County, Texas",-59,27
29141,MO,-469,-121,-286,-362,"Morgan County, Missouri",-441,28
40051,OK,-308,-238,-26,-267,"Grady County, Oklahoma",-280,28
56033,WY,-342,-166,-77,-279,"Sheridan County, Wyoming",-314,28
21051,KY,-215,-197,24,-170,"Clay County, Kentucky",-186,29
38031,ND,-115,-104,-11,-148,"Foster County, North Dakota",-86,29
56027,WY,-146,-105,-16,-84,"Niobrara County, Wyoming",-116,30
51099,VA,96,85,25,56,"King George County, Virginia",127,31
54093,WV,8,-39,11,-5,"Tucker County, West Virginia",39,31
38007,ND,-2,-1,20,45,"Billings County, North Dakota",30,32
37187,NC,-150,-139,0,-123,"Washington County, North Carolina",-117,33
26043,MI,-329,-152,-203,-347,"Dickinson County, Michigan",-296,33
38027,ND,-115,-104,-11,-148,"Eddy County, North Dakota",-82,33
20085,KS,-256,-222,0,-227,"Jackson County, Kansas",-223,33
46069,SD,40,36,0,13,"Hyde County, South Dakota",73,33
47061,TN,-293,-208,-32,-309,"Grundy County, Tennessee",-259,34
31115,NE,-26,-13,0,31,"Loup County, Nebraska",9,35
22001,LA,-750,-753,-52,-800,"Acadia Parish, Louisiana",-715,35
35007,NM,19,62,-18,49,"Colfax County, New Mexico",54,35
47005,TN,-152,-112,0,-208,"Benton County, Tennessee",-116,36
29199,MO,-67,-33,0,-57,"Scotland County, Missouri",-31,36
24043,MD,-1145,-1170,6,-873,"Washington County, Maryland",-1108,37
1095,AL,-870,-803,14,-857,"Marshall County, Alabama",-832,38
1089,AL,1279,1150,122,1376,"Madison County, Alabama",1317,38
40093,OK,-141,-135,0,-152,"Major County, Oklahoma",-103,38
54043,WV,-307,-308,-21,-291,"Lincoln County, West Virginia",-268,39
17147,IL,-321,-208,-97,-267,"Piatt County, Illinois",-282,39
20163,KS,-103,-113,0,-110,"Rooks County, Kansas",-64,39
48191,TX,-165,-128,0,-168,"Hall County, Texas",-126,39
2170,AK,390,836,-473,413,"Matanuska-Susitna Borough, Alaska",429,39
38063,ND,-1,11,0,0,"Nelson County, North Dakota",38,39
21039,KY,-147,-115,0,-86,"Carlisle County, Kentucky",-107,40
38051,ND,-94,-51,0,0,"McIntosh County, North Dakota",-54,40
48205,TX,-298,-299,0,-262,"Hartley County, Texas",-258,40
1021,AL,-44,-41,-1,0,"Chilton County, Alabama",-3,41
18025,IN,-182,-83,1,-200,"Crawford County, Indiana",-141,41
54081,WV,-585,-492,-111,-318,"Raleigh County, West Virginia",-543,42
37029,NC,-21,12,-22,3,"Camden County, North Carolina",21,42
21055,KY,-434,-370,-19,-501,"Crittenden County, Kentucky",-392,42
20049,KS,-40,-52,0,12,"Elk County, Kansas",2,42
31077,NE,12,12,0,0,"Greeley County, Nebraska",54,42
38073,ND,-99,-20,-24,-21,"Ransom County, North Dakota",-55,44
13213,GA,-848,-865,-17,-783,"Murray County, Georgia",-803,45
54085,WV,-143,-163,0,-148,"Ritchie County, West Virginia",-96,47
30087,MT,-294,-188,0,-239,"Rosebud County, Montana",-247,47
5081,AR,-223,-227,0,-166,"Little River County, Arkansas",-176,47
31001,NE,-1076,-982,-65,-912,"Adams County, Nebraska",-1028,48
40097,OK,-554,-525,-13,-598,"Mayes County, Oklahoma",-506,48
48319,TX,67,-52,111,-31,"Mason County, Texas",115,48
51011,VA,-184,-140,-26,-36,"Appomattox County, Virginia",-134,50
55047,WI,-402,-117,-241,-298,"Green Lake County, Wisconsin",-352,50
30109,MT,-67,-48,0,-14,"Wibaux County, Montana",-17,50
17193,IL,-181,-118,-12,-118,"White County, Illinois",-131,50
47173,TN,202,249,16,222,"Union County, Tennessee",253,51
18037,IN,-440,-372,-16,-382,"Dubois County, Indiana",-389,51
19071,IA,-302,-152,-99,-269,"Fremont County, Iowa",-251,51
38039,ND,-31,5,0,-40,"Griggs County, North Dakota",20,51
29081,MO,-211,-194,0,-132,"Harrison County, Missouri",-160,51
20183,KS,-36,-23,0,-45,"Smith County, Kansas",15,51
48075,TX,-95,-83,0,-118,"Childress County, Texas",-44,51
53017,WA,-420,-147,-218,-503,"Douglas County, Washington",-369,51
2105,AK,8,0,1,13,"Hoonah-Angoon Census Area, Alaska",60,52
38055,ND,-227,-82,-60,-42,"McLean County, North Dakota",-174,53
56043,WY,-134,-113,-16,-117,"Washakie County, Wyoming",-81,53
51115,VA,39,22,0,-40,"Mathews County, Virginia",93,54
40079,OK,-760,-736,0,-1011,"Le Flore County, Oklahoma",-706,54
27069,MN,-103,-37,0,-17,"Kittson County, Minnesota",-48,55
1111,AL,1,-8,0,-23,"Randolph County, Alabama",57,56
47147,TN,108,120,35,163,"Robertson County, Tennessee",164,56
48443,TX,-146,-179,28,-150,"Terrell County, Texas",-90,56
51169,VA,0,20,0,-44,"Scott County, Virginia",57,57
37015,NC,-268,-269,0,-289,"Bertie County, North Carolina",-211,57
46095,SD,-46,0,0,-11,"Mellette County, South Dakota",11,57
26131,MI,-121,-36,-97,-99,"Ontonagon County, Michigan",-63,58
38019,ND,-92,-70,-9,-97,"Cavalier County, North Dakota",-34,58
20001,KS,-737,-726,-14,-708,"Allen County, Kansas",-679,58
31171,NE,4,-1,0,0,"Thomas County, Nebraska",62,58
50017,VT,-312,-168,-77,-174,"Orange County, Vermont",-253,59
38099,ND,-237,-66,-100,-89,"Walsh County, North Dakota",-178,59
48213,TX,217,327,-80,265,"Henderson County, Texas",276,59
2282,AK,-16,0,-13,0,"Yakutat City and Borough, Alaska",43,59
31083,NE,-117,-72,-12,-109,"Harlan County, Nebraska",-57,60
46105,SD,-75,-64,-15,-65,"Perkins County, South Dakota",-14,61
38087,ND,-109,-75,0,-35,"Slope County, North Dakota",-48,61
17071,IL,-284,-226,-14,-235,"Henderson County, Illinois",-223,61
31169,NE,-118,-111,0,-91,"Thayer County, Nebraska",-55,63
31005,NE,-63,-11,-11,-37,"Arthur County, Nebraska",0,63
23015,ME,-93,-84,21,-148,"Lincoln County, Maine",-29,64
17023,IL,-397,-337,-27,-402,"Clark County, Illinois",-333,64
20071,KS,-99,-83,0,-84,"Greeley County, Kansas",-35,64
31059,NE,-145,-63,0,-130,"Fillmore County, Nebraska",-81,64
17083,IL,-317,-221,-129,-265,"Jersey County, Illinois",-251,66
40045,OK,-16,-22,0,-62,"Ellis County, Oklahoma",50,66
47107,TN,30,123,-54,67,"McMinn County, Tennessee",97,67
31175,NE,-67,-52,0,-35,"Valley County, Nebraska",0,67
2150,AK,-590,-527,-92,-532,"Kodiak Island Borough, Alaska",-523,67
20067,KS,-419,-413,0,-338,"Grant County, Kansas",-351,68
48271,TX,-99,-120,-23,-123,"Kinney County, Texas",-31,68
41069,OR,27,27,0,0,"Wheeler County, Oregon",95,68
12089,FL,1598,1480,135,1571,"Nassau County, Florida",1667,69
20073,KS,-256,-253,0,-165,"Greenwood County, Kansas",-187,69
16013,ID,-189,103,-262,-107,"Blaine County, Idaho",-120,69
6011,CA,1,-75,57,44,"Colusa County, California",70,69
13181,GA,-28,-5,0,11,"Lincoln County, Georgia",43,71
13105,GA,-19,-15,-1,-56,"Elbert County, Georgia",53,72
28069,MS,-109,-129,11,-155,"Kemper County, Mississippi",-37,72
26155,MI,-1251,-371,-959,-1291,"Shiawassee County, Michigan",-1179,72
27167,MN,-223,-86,-113,-216,"Wilkin County, Minnesota",-151,72
48223,TX,229,263,0,211,"Hopkins County, Texas",302,73
19009,IA,-298,-227,-41,-270,"Audubon County, Iowa",-224,74
30051,MT,-44,0,-12,-11,"Liberty County, Montana",30,74
48017,TX,-115,-111,0,-48,"Bailey County, Texas",-41,74
54053,WV,-217,-245,30,-129,"Mason County, West Virginia",-140,77
19029,IA,-384,-352,-41,-258,"Cass County, Iowa",-307,77
8043,CO,-643,-455,-317,-736,"Fremont County, Colorado",-566,77
38033,ND,15,-22,20,2,"Golden Valley County, North Dakota",92,77
19095,IA,-158,-59,-57,88,"Iowa County, Iowa",-80,78
46051,SD,-300,-145,-109,-308,"Grant County, South Dakota",-222,78
17015,IL,-306,-113,-179,-298,"Carroll County, Illinois",-228,78
20137,KS,-62,-42,0,-56,"Norton County, Kansas",16,78
41013,OR,188,507,-325,206,"Crook County, Oregon",266,78
13043,GA,-251,-226,-17,-141,"Candler County, Georgia",-172,79
29171,MO,-104,-64,-13,-24,"Putnam County, Missouri",-24,80
17045,IL,-373,-329,-27,-351,"Edgar County, Illinois",-291,82
5073,AR,-129,-120,0,-86,"Lafayette County, Arkansas",-47,82
48255,TX,-46,-53,0,-65,"Karnes County, Texas",36,82
13249,GA,-88,-91,0,-30,"Schley County, Georgia",-5,83
26015,MI,-1060,-80,-1040,-1096,"Barry County, Michigan",-977,83
19055,IA,-415,-224,-102,-208,"Delaware County, Iowa",-332,83
27055,MN,-315,-164,-134,-283,"Houston County, Minnesota",-232,83
49041,UT,99,119,-12,135,"Sevier County, Utah",182,83
51043,VA,51,19,20,23,"Clarke County, Virginia",135,84
16003,ID,-237,-115,-112,-213,"Adams County, Idaho",-153,84
45011,SC,-224,-216,0,-236,"Barnwell County, South Carolina",-139,85
55085,WI,-950,-220,-683,-874,"Oneida County, Wisconsin",-865,85
38025,ND,-4,-34,117,100,"Dunn County, North Dakota",82,86
46043,SD,-69,-82,0,-32,"Douglas County, South Dakota",18,87
30025,MT,-23,-20,0,-13,"Fallon County, Montana",64,87
49023,UT,80,114,0,62,"Juab County, Utah",167,87
32011,NV,-154,-112,0,-180,"Eureka County, Nevada",-67,87
23021,ME,-472,-427,67,-432,"Piscataquis County, Maine",-384,88
51051,VA,-360,-346,-11,-298,"Dickenson County, Virginia",-271,89
45061,SC,-351,-243,-115,-385,"Lee County, South Carolina",-262,89
5065,AR,-367,-349,-2,-350,"Izard County, Arkansas",-277,90
55061,WI,-280,-178,-78,-235,"Kewaunee County, Wisconsin",-189,91
41055,OR,-40,-26,0,-14,"Sherman County, Oregon",51,91
51047,VA,456,453,-5,564,"Culpeper County, Virginia",548,92
12035,FL,3523,2393,1152,3298,"Flagler County, Florida",3615,92
29087,MO,-97,-70,0,-38,"Holt County, Missouri",-5,92
29229,MO,-395,-376,-36,-456,"Wright County, Missouri",-303,92
20135,KS,-45,-47,0,-49,"Ness County, Kansas",47,92
48153,TX,-27,-26,0,-15,"Floyd County, Texas",66,93
21065,KY,-146,-127,0,-208,"Estill County, Kentucky",-52,94
47087,TN,-278,-154,-141,-173,"Jackson County, Tennessee",-183,95
51630,VA,329,335,-69,380,"Fredericksburg city, Virginia",425,96
48275,TX,-57,-40,0,-3,"Knox County, Texas",39,96
48095,TX,49,27,0,17,"Concho County, Texas",145,96
38041,ND,-64,-14,0,0,"Hettinger County, North Dakota",32,96
42047,PA,-721,-578,-115,-731,"Elk County, Pennsylvania",-624,97
22023,LA,-417,-473,7,-486,"Cameron Parish, Louisiana",-320,97
40029,OK,-142,-112,0,-102,"Coal County, Oklahoma",-45,97
8109,CO,-383,-429,12,-372,"Saguache County, Colorado",-286,97
13311,GA,31,-12,6,86,"White County, Georgia",129,98
40127,OK,-377,-389,0,-264,"Pushmataha County, Oklahoma",-279,98
35031,NM,-700,-734,55,-638,"McKinley County, New Mexico",-602,98
16037,ID,41,86,-53,62,"Custer County, Idaho",140,99
12059,FL,408,370,56,312,"Holmes County, Florida",508,100
20089,KS,-75,-58,0,-114,"Jewell County, Kansas",25,100
8015,CO,15,-15,7,7,"Chaffee County, Colorado",115,100
48051,TX,7,23,0,67,"Burleson County, Texas",108,101
54071,WV,-232,-212,0,-159,"Pendleton County, West Virginia",-130,102
8047,CO,28,105,-80,7,"Gilpin County, Colorado",130,102
31149,NE,-55,-26,0,11,"Rock County, Nebraska",48,103
8111,CO,-225,-243,-14,-128,"San Juan County, Colorado",-122,103
9015,CT,-1498,-1534,11,-1681,"Windham County, Connecticut",-1394,104
54005,WV,-178,-152,0,-144,"Boone County, West Virginia",-74,104
31123,NE,-265,-227,0,-165,"Morrill County, Nebraska",-161,104
27155,MN,-151,-114,-53,-125,"Traverse County, Minnesota",-46,105
31069,NE,-171,-116,-11,-33,"Garden County, Nebraska",-66,105
72075,PR,60,87,0,84,"Juana Díaz Municipio, Puerto Rico",167,107
25019,MA,-245,-293,73,-194,"Nantucket County, Massachusetts",-138,107
32017,NV,-13,13,0,28,"Lincoln County, Nevada",94,107
51077,VA,-292,-345,8,-432,"Grayson County, Virginia",-184,108
47137,TN,61,52,28,69,"Pickett County, Tennessee",169,108
53059,WA,-44,128,-110,28,"Skamania County, Washington",64,108
2100,AK,-90,18,-87,-71,"Haines Borough, Alaska",18,108
46039,SD,-125,-39,0,35,"Deuel County, South Dakota",-16,109
49017,UT,-107,-96,33,-66,"Garfield County, Utah",2,109
37171,NC,-245,-212,-56,-127,"Surry County, North Carolina",-135,110
30037,MT,-58,-34,-14,-34,"Golden Valley County, Montana",53,111
20199,KS,-86,-64,0,-13,"Wallace County, Kansas",25,111
49027,UT,-5,3,0,-2,"Millard County, Utah",106,111
72089,PR,78,52,26,84,"Luquillo Municipio, Puerto Rico",190,112
17125,IL,-257,-171,0,-308,"Mason County, Illinois",-145,112
29085,MO,77,150,0,103,"Hickory County, Missouri",189,112
48385,TX,25,62,0,0,"Real County, Texas",137,112
29510,MO,-8219,-8066,-269,-8021,"St. Louis city, Missouri",-8106,113
48371,TX,-155,-176,28,-138,"Pecos County, Texas",-42,113
20179,KS,-52,-49,0,-4,"Sheridan County, Kansas",62,114
46123,SD,-160,-145,0,-216,"Tripp County, South Dakota",-45,115
40083,OK,797,860,-66,717,"Logan County, Oklahoma",913,116
13209,GA,-237,-273,-35,-285,"Montgomery County, Georgia",-120,117
20023,KS,-31,2,13,17,"Cheyenne County, Kansas",86,117
41023,OR,4,26,-33,-58,"Grant County, Oregon",121,117
54021,WV,-107,-126,0,-63,"Gilmer County, West Virginia",11,118
12031,FL,-655,-641,-233,-314,"Duval County, Florida",-537,118
47039,TN,-55,-34,0,-106,"Decatur County, Tennessee",63,118
47099,TN,-459,-455,-13,-318,"Lawrence County, Tennessee",-341,118
5139,AR,-752,-706,7,-601,"Union County, Arkansas",-634,118
16031,ID,-111,-32,-87,-141,"Cassia County, Idaho",7,118
1079,AL,-75,-25,-65,-152,"Lawrence County, Alabama",44,119
47053,TN,-470,-503,32,-508,"Gibson County, Tennessee",-351,119
38021,ND,-169,-78,-11,-62,"Dickey County, North Dakota",-50,119
48455,TX,-241,-249,-8,-316,"Trinity County, Texas",-122,119
46119,SD,-240,-188,-80,-192,"Sully County, South Dakota",-120,120
40005,OK,5,14,0,-75,"Atoka County, Oklahoma",125,120
6093,CA,-786,-621,-77,-742,"Siskiyou County, California",-666,120
42023,PA,-119,-121,-12,-120,"Cameron County, Pennsylvania",2,121
51005,VA,-368,-336,-26,-345,"Alleghany County, Virginia",-247,121
54087,WV,-90,-99,-27,-107,"Roane County, West Virginia",31,121
46045,SD,-34,20,-13,27,"Edmunds County, South Dakota",87,121
46089,SD,-26,-6,0,-30,"McPherson County, South Dakota",95,121
17061,IL,-99,-65,0,-107,"Greene County, Illinois",23,122
21079,KY,-341,-313,-40,-407,"Garrard County, Kentucky",-218,123
48295,TX,-107,-106,0,-86,"Lipscomb County, Texas",16,123
47049,TN,242,256,8,137,"Fentress County, Tennessee",366,124
48177,TX,-20,-45,0,-105,"Gonzales County, Texas",104,124
48415,TX,-292,-303,0,-273,"Scurry County, Texas",-168,124
51117,VA,-91,-104,-2,-204,"Mecklenburg County, Virginia",34,125
31017,NE,-131,-106,0,-93,"Brown County, Nebraska",-6,125
29129,MO,-69,-53,0,-61,"Mercer County, Missouri",57,126
20063,KS,-96,-113,0,-130,"Gove County, Kansas",30,126
12051,FL,430,-716,1190,432,"Hendry County, Florida",557,127
27097,MN,-428,43,-426,-398,"Morrison County, Minnesota",-301,127
38091,ND,-121,-28,-38,-73,"Steele County, North Dakota",6,127
16071,ID,-15,36,-14,8,"Oneida County, Idaho",112,127
21161,KY,-152,-160,-25,-59,"Mason County, Kentucky",-24,128
27113,MN,-234,-140,-78,-218,"Pennington County, Minnesota",-106,128
47011,TN,-361,-362,17,-339,"Bradley County, Tennessee",-232,129
51197,VA,-234,-170,10,-279,"Wythe County, Virginia",-104,130
1027,AL,-329,-324,22,-454,"Clay County, Alabama",-199,130
21229,KY,-878,-806,-94,-874,"Washington County, Kentucky",-748,130
31107,NE,-446,-349,-14,-352,"Knox County, Nebraska",-316,130
40055,OK,-286,-271,0,-262,"Greer County, Oklahoma",-156,130
48173,TX,-82,-103,-8,-79,"Glasscock County, Texas",48,130
47033,TN,-1,-13,32,9,"Crockett County, Tennessee",130,131
30077,MT,-156,-86,-33,-91,"Powell County, Montana",-25,131
51161,VA,-661,-662,15,-575,"Roanoke County, Virginia",-527,134
8081,CO,-413,-361,-71,-447,"Moffat County, Colorado",-279,134
39163,OH,-494,-392,-40,-325,"Vinton County, Ohio",-359,135
31011,NE,-196,-132,0,-44,"Boone County, Nebraska",-61,135
48101,TX,-102,-64,0,-15,"Cottle County, Texas",33,135
16007,ID,-100,-60,-39,-89,"Bear Lake County, Idaho",36,136
6049,CA,-247,-223,0,-153,"Modoc County, California",-111,136
31071,NE,-55,-52,0,-23,"Garfield County, Nebraska",82,137
34001,NJ,-1540,-1488,-151,-1412,"Atlantic County, New Jersey",-1402,138
26001,MI,-635,-47,-480,-583,"Alcona County, Michigan",-497,138
20075,KS,-149,-149,0,-88,"Hamilton County, Kansas",-11,138
48481,TX,-631,-628,11,-584,"Wharton County, Texas",-493,138
48117,TX,-870,-847,-30,-847,"Deaf Smith County, Texas",-732,138
72067,PR,21,17,0,56,"Hormigueros Municipio, Puerto Rico",160,139
17069,IL,-99,-117,0,-61,"Hardin County, Illinois",40,139
9007,CT,-523,-508,-36,-313,"Middlesex County, Connecticut",-383,140
18101,IN,-415,-323,-13,-374,"Martin County, Indiana",-275,140
31125,NE,-214,-148,0,-83,"Nance County, Nebraska",-74,140
46059,SD,-197,-154,0,-135,"Hand County, South Dakota",-55,142
31049,NE,-69,-60,0,-23,"Deuel County, Nebraska",73,142
45009,SC,-30,-11,0,52,"Bamberg County, South Carolina",113,143
24011,MD,-323,-300,-22,-310,"Caroline County, Maryland",-179,144
48157,TX,9754,9291,575,8614,"Fort Bend County, Texas",9899,145
41027,OR,-142,-137,-16,-148,"Hood River County, Oregon",3,145
28003,MS,-87,-104,-13,-143,"Alcorn County, Mississippi",59,146
30059,MT,-33,-15,11,-53,"Meagher County, Montana",113,146
26013,MI,-122,-25,-77,-113,"Baraga County, Michigan",25,147
48315,TX,-9,-1,0,85,"Marion County, Texas",138,147
26051,MI,-552,174,-758,-576,"Gladwin County, Michigan",-403,149
46023,SD,-202,-149,0,-121,"Charles Mix County, South Dakota",-53,149
48333,TX,-36,-31,0,-53,"Mills County, Texas",113,149
36041,NY,-169,-105,-48,-70,"Hamilton County, New York",-19,150
22003,LA,55,66,0,53,"Allen Parish, Louisiana",205,150
8097,CO,-176,-186,53,-82,"Pitkin County, Colorado",-26,150
24041,MD,64,158,-8,134,"Talbot County, Maryland",215,151
