GEOID1,STATE,NET_COUNTY,NET_PERM,NET_TEMP,NET_RESIDENTIAL,FULL1_NAME,net,difference
51153,VA,-1338,-1617,188,-1317,"Prince William County, Virginia",-6180,-4842
72025,PR,29,-63,28,-118,"Caguas Municipio, Puerto Rico",-4745,-4774
48139,TX,4009,3827,101,4065,"Ellis County, Texas",-499,-4508
48091,TX,6812,6350,422,6607,"Comal County, Texas",2306,-4506
48373,TX,4698,3398,1363,4496,"Polk County, Texas",290,-4408
13113,GA,2245,1920,416,2327,"Fayette County, Georgia",-2065,-4310
6059,CA,-11804,-14388,2231,-11761,"Orange County, California",-16113,-4309
36085,NY,-1232,-1419,214,-1245,"Richmond County, New York",-5536,-4304
6001,CA,-7919,-9172,1261,-6801,"Alameda County, California",-12163,-4244
72021,PR,-326,-393,28,-456,"Bayamón Municipio, Puerto Rico",-4218,-3892
8035,CO,7865,7687,180,7795,"Douglas County, Colorado",4014,-3851
22017,LA,-2583,-2529,-181,-2504,"Caddo Parish, Louisiana",-6396,-3813
72137,PR,81,41,12,132,"Toa Baja Municipio, Puerto Rico",-3719,-3800
34035,NJ,-1318,-1699,433,-1582,"Somerset County, New Jersey",-4965,-3647
12069,FL,16944,10256,6648,15957,"Lake County, Florida",13299,-3645
72113,PR,76,93,0,119,"Ponce Municipio, Puerto Rico",-3534,-3610
48367,TX,4307,4342,9,4336,"Parker County, Texas",843,-3464
24021,MD,3371,3193,33,3546,"Frederick County, Maryland",121,-3250
48325,TX,4511,4403,179,4518,"Medina County, Texas",1275,-3236
17043,IL,-8025,-7083,-1108,-7631,"DuPage County, Illinois",-11241,-3216
51059,VA,-10005,-11685,1848,-9186,"Fairfax County, Virginia",-13204,-3199
29095,MO,-4935,-4462,-662,-4791,"Jackson County, Missouri",-8100,-3165
34031,NJ,-1895,-2151,221,-2093,"Passaic County, New Jersey",-5047,-3152
48473,TX,4356,4186,210,4213,"Waller County, Texas",1223,-3133
24027,MD,2787,2383,381,2883,"Howard County, Maryland",-313,-3100
4021,AZ,19545,7010,12683,18553,"Pinal County, Arizona",16538,-3007
4001,AZ,633,-25,766,362,"Apache County, Arizona",-2327,-2960
72003,PR,85,81,0,70,"Aguada Municipio, Puerto Rico",-2803,-2888
4027,AZ,4019,-1675,5698,3832,"Yuma County, Arizona",1142,-2877
12107,FL,3948,2263,1744,3581,"Putnam County, Florida",1073,-2875
12119,FL,7799,3585,4260,7201,"Sumter County, Florida",4936,-2863
22071,LA,-2623,-2838,133,-2860,"Orleans Parish, Louisiana",-5470,-2847
25023,MA,614,1483,-935,863,"Plymouth County, Massachusetts",-2230,-2844
13217,GA,2555,2486,2,2560,"Newton County, Georgia",-280,-2835
37077,NC,2651,2536,117,2527,"Granville County, North Carolina",-175,-2826
37101,NC,3815,3697,145,3502,"Johnston County, North Carolina",1034,-2781
34025,NJ,583,912,-424,486,"Monmouth County, New Jersey",-2193,-2776
36071,NY,-1404,-867,-671,-1140,"Orange County, New York",-4140,-2736
12131,FL,4889,2392,2488,4606,"Walton County, Florida",2185,-2704
45041,SC,-439,-498,-19,-568,"Florence County, South Carolina",-3109,-2670
24017,MD,1261,1246,-74,1444,"Charles County, Maryland",-1375,-2636
36093,NY,-790,-131,-759,-801,"Schenectady County, New York",-3414,-2624
34019,NJ,611,499,97,929,"Hunterdon County, New Jersey",-1934,-2545
72031,PR,-416,-513,116,-507,"Carolina Municipio, Puerto Rico",-2958,-2542
39035,OH,-8284,-6671,-1783,-7795,"Cuyahoga County, Ohio",-10826,-2542
17197,IL,-3907,-3015,-940,-3547,"Will County, Illinois",-6449,-2542
24013,MD,703,513,141,755,"Carroll County, Maryland",-1802,-2505
72085,PR,-3,24,0,6,"Las Piedras Municipio, Puerto Rico",-2503,-2500
72145,PR,79,91,0,1,"Vega Baja Municipio, Puerto Rico",-2391,-2470
27163,MN,-152,1630,-1822,-33,"Washington County, Minnesota",-2612,-2460
8039,CO,3003,2948,67,3050,"Elbert County, Colorado",581,-2422
34017,NJ,-9439,-9301,-12,-9024,"Hudson County, New Jersey",-11857,-2418
72139,PR,-174,-205,28,-170,"Trujillo Alto Municipio, Puerto Rico",-2578,-2404
1003,AL,5079,233,4867,4697,"Baldwin County, Alabama",2740,-2339
72071,PR,258,226,41,309,"Isabela Municipio, Puerto Rico",-2073,-2331
13297,GA,1970,1922,8,1942,"Walton County, Georgia",-315,-2285
13255,GA,666,668,38,793,"Spalding County, Georgia",-1618,-2284
28001,MS,-72,-126,42,-40,"Adams County, Mississippi",-2334,-2262
37069,NC,3352,3269,132,3189,"Franklin County, North Carolina",1144,-2208
17111,IL,-1942,-896,-1140,-1895,"McHenry County, Illinois",-4130,-2188
72135,PR,2,-34,12,-30,"Toa Alta Municipio, Puerto Rico",-2150,-2152
37105,NC,1711,968,738,1415,"Lee County, North Carolina",-433,-2144
72053,PR,-17,-8,11,38,"Fajardo Municipio, Puerto Rico",-2131,-2114
72081,PR,72,78,0,38,"Lares Municipio, Puerto Rico",-2038,-2110
48497,TX,2515,2560,34,2493,"Wise County, Texas",429,-2086
13013,GA,2040,1979,24,1979,"Barrow County, Georgia",-43,-2083
37085,NC,3987,3201,805,3808,"Harnett County, North Carolina",1912,-2075
48221,TX,1960,2118,-155,1930,"Hood County, Texas",-71,-2031
36103,NY,-11612,-7115,-4381,-10095,"Suffolk County, New York",-13634,-2022
6073,CA,-22361,-26955,4148,-21156,"San Diego County, California",-24376,-2015
13247,GA,2097,1856,330,2297,"Rockdale County, Georgia",88,-2009
6039,CA,14,-78,76,45,"Madera County, California",-1993,-2007
72023,PR,164,87,40,130,"Cabo Rojo Municipio, Puerto Rico",-1801,-1965
22063,LA,608,606,-34,741,"Livingston Parish, Louisiana",-1349,-1957
4023,AZ,1012,116,912,847,"Santa Cruz County, Arizona",-919,-1931
72065,PR,92,78,14,133,"Hatillo Municipio, Puerto Rico",-1835,-1927
27019,MN,456,994,-538,493,"Carver County, Minnesota",-1470,-1926
29037,MO,574,598,-79,594,"Cass County, Missouri",-1345,-1919
36079,NY,408,608,-119,584,"Putnam County, New York",-1506,-1914
72051,PR,120,94,12,138,"Dorado Municipio, Puerto Rico",-1791,-1911
72035,PR,163,99,0,88,"Cayey Municipio, Puerto Rico",-1723,-1886
37179,NC,3218,2940,271,3180,"Union County, North Carolina",1332,-1886
32029,NV,2163,2202,-78,2035,"Storey County, Nevada",280,-1883
72011,PR,328,161,161,339,"Añasco Municipio, Puerto Rico",-1517,-1845
54079,WV,-771,-766,58,-899,"Putnam County, West Virginia",-2606,-1835
22103,LA,-225,-330,34,-77,"St. Tammany Parish, Louisiana",-2036,-1811
13227,GA,1240,1221,67,1241,"Pickens County, Georgia",-562,-1802
72151,PR,34,34,0,-1,"Yabucoa Municipio, Puerto Rico",-1748,-1782
72017,PR,45,60,0,25,"Barceloneta Municipio, Puerto Rico",-1712,-1757
48375,TX,-2476,-2478,-102,-2641,"Potter County, Texas",-4233,-1757
72077,PR,45,53,0,86,"Juncos Municipio, Puerto Rico",-1703,-1748
36087,NY,-2044,-1880,-205,-1739,"Rockland County, New York",-3783,-1739
48031,TX,1975,1979,-86,1890,"Blanco County, Texas",236,-1739
45025,SC,553,510,-13,577,"Chesterfield County, South Carolina",-1183,-1736
6025,CA,271,-812,933,522,"Imperial County, California",-1438,-1709
6057,CA,508,416,77,538,"Nevada County, California",-1199,-1707
8117,CO,23,-229,195,41,"Summit County, Colorado",-1678,-1701
54019,WV,-610,-560,-118,-575,"Fayette County, West Virginia",-2300,-1690
47047,TN,1629,1542,99,1696,"Fayette County, Tennessee",-37,-1666
37125,NC,2565,1833,664,2303,"Moore County, North Carolina",905,-1660
72069,PR,-22,-52,43,-70,"Humacao Municipio, Puerto Rico",-1678,-1656
51061,VA,1301,1221,47,1167,"Fauquier County, Virginia",-352,-1653
35001,NM,-2244,-2422,-203,-2721,"Bernalillo County, New Mexico",-3849,-1605
47159,TN,1197,1227,9,1256,"Smith County, Tennessee",-398,-1595
51600,VA,-1337,-1384,63,-1338,"Fairfax city, Virginia",-2915,-1578
37065,NC,-847,-857,18,-908,"Edgecombe County, North Carolina",-2416,-1569
72133,PR,-4,-15,0,-70,"Santa Isabel Municipio, Puerto Rico",-1554,-1550
48187,TX,1951,1614,315,1842,"Guadalupe County, Texas",405,-1546
6103,CA,1418,308,1149,1378,"Tehama County, California",-128,-1546
39103,OH,300,988,-582,264,"Medina County, Ohio",-1228,-1528
13157,GA,780,750,-14,1072,"Jackson County, Georgia",-736,-1516
45055,SC,206,257,-66,225,"Kershaw County, South Carolina",-1307,-1513
48427,TX,-430,-454,40,-424,"Starr County, Texas",-1931,-1501
51740,VA,-313,-344,68,-221,"Portsmouth city, Virginia",-1811,-1498
18099,IN,-1421,-1127,-352,-1368,"Marshall County, Indiana",-2905,-1484
48185,TX,1624,1625,-38,1425,"Grimes County, Texas",143,-1481
48007,TX,1166,336,873,1185,"Aransas County, Texas",-313,-1479
39025,OH,-913,-425,-516,-737,"Clermont County, Ohio",-2390,-1477
25009,MA,-1892,-691,-1285,-1607,"Essex County, Massachusetts",-3367,-1475
4012,AZ,1283,-355,1836,1356,"La Paz County, Arizona",-174,-1457
72141,PR,144,153,14,140,"Utuado Municipio, Puerto Rico",-1312,-1456
53001,WA,-187,-172,-42,-311,"Adams County, Washington",-1619,-1432
72013,PR,6,3,14,127,"Arecibo Municipio, Puerto Rico",-1424,-1430
12049,FL,-13,-602,582,-29,"Hardee County, Florida",-1438,-1425
45039,SC,1103,1079,13,1073,"Fairfield County, South Carolina",-315,-1418
49047,UT,-281,-292,-43,-184,"Uintah County, Utah",-1682,-1401
29183,MO,1030,1071,-43,915,"St. Charles County, Missouri",-370,-1400
29113,MO,63,89,-86,23,"Lincoln County, Missouri",-1332,-1395
72153,PR,161,138,0,126,"Yauco Municipio, Puerto Rico",-1219,-1380
26163,MI,-15112,-13681,-1830,-14352,"Wayne County, Michigan",-16486,-1374
72057,PR,161,146,0,159,"Guayama Municipio, Puerto Rico",-1203,-1364
47117,TN,1811,1857,-3,1845,"Marshall County, Tennessee",447,-1364
72073,PR,-5,7,0,-13,"Jayuya Municipio, Puerto Rico",-1367,-1362
9003,CT,-7134,-6764,-550,-6632,"Hartford County, Connecticut",-8488,-1354
72129,PR,121,102,0,48,"San Lorenzo Municipio, Puerto Rico",-1228,-1349
72099,PR,427,435,11,443,"Moca Municipio, Puerto Rico",-904,-1331
