"","Year","TOTAL_FROM_COUNTY","FROM_BUSINESS","FROM_FAMILY","FROM_INDIVIDUAL","FROM_PERM","FROM_TEMP","TOTAL_TO_COUNTY","TO_BUSINESS","TO_FAMILY","TO_INDIVIDUAL","TO_PERM","TO_TEMP","NET_COUNTY","NET_BUSINESS","NET_FAMILY","NET_INDIVIDUAL","NET_RES","NET_PERM","NET_TEMP","ams_res","ams_bus","ams_oth","ams_total","USPS_ZIP_PREF_CITY","USPS_ZIP_PREF_STATE","X","Y","ZIP_CLASS","CITY","STATE","STATECODE","STATENAME","COUNTY","COUNTYNM","MSA","AREACODE","AREACODES","TIMEZONE","GMTOFFSET","DST","PONAME","ALIAS_CITY","ALIAS_CITYN","CITY2","STATENAME2","RES_percent","BUS_percent","TOT_percent"
"14","2018",161187,4165,40591,113866,149299,10162,141540,3438,32935,102122,129290,10513,-19647,-727,-7656,-11744,-19400,-20009,41,NA,NA,NA,NA,"GLEN OAKS","NY",-73.710498,40.747846,NA,"Glen Oaks",36,"NY","New York",81,"Queens",5600,718,"718/347","Eastern",-5,"Y","Glen Oaks","Floral Park",NA,"GLENOAKS","NEWYORK",NA,NA,NA
"15","2018",205543,6977,43559,153505,192234,12951,182823,6387,35115,139860,168546,13938,-22720,-590,-8444,-13645,-22089,-23688,44,NA,NA,NA,NA,"BROOKLYN","NY",-73.992723,40.695472,NA,"Brooklyn",36,"NY","New York",47,"Kings",5600,718,"718/347","Eastern",-5,"Y","Brooklyn","Brooklyn Heights||Brooklyn Hgts",NA,"BROOKLYN","NEWYORK",NA,NA,NA
"16","2018",239938,9314,61156,162089,209274,26593,209225,7079,51929,142728,183579,21474,-30713,-2235,-9227,-19361,-28588,-25695,-40,NA,NA,NA,NA,"AMITYVILLE","NY",-73.412179,40.686293,NA,"Amityville",36,"NY","New York",103,"Suffolk",5380,631,"631/934","Eastern",-5,"Y","Amityville","Amity Harbor","N Amityville||North Amityville","AMITYVILLE","NEWYORK",NA,NA,NA
"17","2018",44722,938,11382,30660,40038,3689,38114,549,8942,26855,34487,2395,-6608,-389,-2440,-3805,-6245,-5551,-27,NA,NA,NA,NA,"ALTAMONT","NY",-74.025728,42.697778,NA,"Altamont",36,"NY","New York",1,"Albany",160,518,"518/838","Eastern",-5,"Y","Altamont",NA,NA,"ALTAMONT","NEWYORK",NA,NA,NA
"18","2018",401139,10177,124263,252987,371552,22874,383986,9105,113813,247570,356309,20584,-17153,-1072,-10450,-5417,-15867,-15243,-140,NA,NA,NA,NA,"AMSTERDAM","NY",-74.17086,42.92364,NA,"Amsterdam",36,"NY","New York",57,"Montgomery",160,518,"518/838","Eastern",-5,"Y","Amsterdam","West Charlton","Perth||West Glenville","AMSTERDAM","NEWYORK",NA,NA,NA
"19","2018",94236,1841,27701,58734,87734,3768,82619,1489,21265,54561,77516,2723,-11617,-352,-6436,-4173,-10609,-10218,-41,NA,NA,NA,NA,"ATHENS","NY",-73.810372,42.262647,NA,"Athens",36,"NY","New York",39,"Greene",0,518,"518/838","Eastern",-5,"Y","Athens",NA,NA,"ATHENS","NEWYORK",NA,NA,NA
"20","2018",52083,530,15962,31612,47113,2925,50301,536,14854,31236,46109,2337,-1782,6,-1108,-376,-1484,-1004,0,NA,NA,NA,NA,"AUSTERLITZ","NY",-73.458542,42.316394,NA,"Austerlitz",36,"NY","New York",21,"Columbia",0,518,"518/838","Eastern",-5,"Y","Austerlitz",NA,NA,"AUSTERLITZ","NEWYORK",NA,NA,NA
"21","2018",19911,220,4816,13582,17732,1577,16882,214,3936,11534,15266,1016,-3029,-6,-880,-2048,-2928,-2466,-41,3152940,173048,98856,3424844,"AVERILL PARK","NY",-73.5495,42.64062,NA,"Averill Park",36,"NY","New York",83,"Rensselaer",160,518,"518/838","Eastern",-5,"Y","Averill Park",NA,"Alps||Burden Lake||Dunham Hollow||East Poestenkill||Glass Lake","AVERILLPARK","NEWYORK",-0.00092865706293174,-3.46724608201193e-05,-0.000720032795654342
"22","2018",27472,779,8064,17711,22955,3988,26080,710,7351,17071,22474,3035,-1392,-69,-713,-640,-1353,-481,-72,4079876,217192,84380,4381448,"BALLSTON LAKE","NY",-73.8906,42.92172,NA,"Ballston Lake",36,"NY","New York",91,"Saratoga",160,518,"518/838","Eastern",-5,"Y","Ballston Lake","Burnt Hills||Charlton",NA,"BALLSTONLAKE","NEWYORK",-0.00033162772594069,-0.000317691259346569,-0.00010978105868197
"23","2018",184968,8050,47348,125503,172056,11450,182574,7724,44414,125907,168935,11990,-2394,-326,-2934,404,-2530,-3121,-47,NA,NA,NA,NA,"BROADALBIN","NY",-74.198122,43.057254,NA,"Broadalbin",36,"NY","New York",35,"Fulton",0,518,"518/838","Eastern",-5,"Y","Broadalbin",NA,"Fish House||Galway Lake||Honeywell Corners||North Broadalbin||Stevers Mills||Union Mills||Vail Mills","BROADALBIN","NEWYORK",NA,NA,NA
"24","2018",289624,6817,88638,177293,261653,20444,278636,6362,80677,174997,252467,18670,-10988,-455,-7961,-2296,-10257,-9186,0,NA,NA,NA,NA,"BUSKIRK","NY",-73.447303,42.962677,NA,"Buskirk",36,"NY","New York",115,"Washington",160,518,"518/838","Eastern",-5,"Y","Buskirk",NA,NA,"BUSKIRK","NEWYORK",NA,NA,NA
"25","2018",2879,0,551,1613,2203,249,2464,11,417,1489,2026,107,-415,11,-134,-124,-258,-177,0,1179880,48264,30984,1259128,"CENTRAL BRIDGE","NY",-74.361941,42.716078,NA,"Central Bridge",36,"NY","New York",95,"Schoharie",160,518,"518/838","Eastern",-5,"Y","Central Bridge","Central Brg",NA,"CENTRALBRIDGE","NEWYORK",-0.000218666305047971,0.000227913144372617,-0.000140573476247054
"26","2018",19406,115,5189,13290,17139,1896,19081,240,5065,13042,17205,1398,-325,125,-124,-248,-372,66,-22,NA,NA,NA,NA,"DELANSON","NY",-74.17158,42.72258,NA,"Delanson",36,"NY","New York",93,"Schenectady",160,518,"518/838","Eastern",-5,"Y","Delanson",NA,NA,"DELANSON","NEWYORK",NA,NA,NA
"27","2018",10689,136,2857,6200,8094,1682,9046,40,2122,5329,7205,1040,-1643,-96,-735,-871,-1606,-889,0,2553652,156492,60384,2770528,"EAST WORCESTER","NY",-74.64435,42.557719,NA,"East Worcester",36,"NY","New York",77,"Otsego",0,607,"607","Eastern",-5,"Y","East Worcester","E Worcester",NA,"EASTWORCESTER","NEWYORK",-0.000628903233486787,-0.000613449888812208,-0.00032087746451218
"28","2018",174979,3737,51628,113291,161159,10332,170878,4006,49150,111579,158665,8488,-4101,269,-2478,-1712,-4190,-2494,-32,28534056,2880300,1530180,32944536,"LAKE PLEASANT","NY",-74.416358,43.469089,NA,"Lake Pleasant",36,"NY","New York",41,"Hamilton",0,518,"518/838","Eastern",-5,"Y","Lake Pleasant",NA,NA,"LAKEPLEASANT","NEWYORK",-0.000146842075308186,9.33930493351387e-05,-7.57029936618321e-05
"29","2018",90761,1972,28113,55693,80251,7791,86323,1894,25405,54488,78021,5724,-4438,-78,-2708,-1205,-3913,-2230,-52,17035264,1294544,437476,18767284,"STAMFORD","NY",-74.619982,42.407598,NA,"Stamford",36,"NY","New York",25,"Delaware",0,607,"607","Eastern",-5,"Y","Stamford",NA,NA,"STAMFORD","NEWYORK",-0.000229699991734792,-6.02528766886255e-05,-0.000118823799970203
"30","2018",17539,419,3997,10762,14740,1659,15647,285,3155,10110,13471,1082,-1892,-134,-842,-652,-1494,-1269,-77,4392792,288464,114616,4795872,"KINGSTON","NY",-74.019531,41.932171,NA,"Kingston",36,"NY","New York",111,"Ulster",0,845,"845","Eastern",-5,"Y","Kingston","Eddyville||Saint Remy",NA,"KINGSTON","NEWYORK",-0.000340102604448378,-0.000464529369349382,-0.000264602558200052
"31","2018",25588,475,6885,16150,22212,2428,25304,347,6722,16269,22529,1879,-284,-128,-163,119,-44,317,12,5372600,414028,213668,6000296,"AMENIA","NY",-73.54105,41.848904,NA,"Amenia",36,"NY","New York",27,"Dutchess",2281,845,"845","Eastern",-5,"Y","Amenia",NA,NA,"AMENIA","NEWYORK",-8.18970330938466e-06,-0.000309157834735815,5.28307270174671e-05
"32","2018",34086,229,10294,19652,28642,2861,30685,114,8272,18915,26625,2114,-3401,-115,-2022,-737,-2759,-2017,-20,NA,NA,NA,NA,"MONTICELLO","NY",-74.6808,41.68932,NA,"Monticello",36,"NY","New York",105,"Sullivan",0,845,"845","Eastern",-5,"Y","Monticello",NA,NA,"MONTICELLO","NEWYORK",NA,NA,NA
"33","2018",81505,1523,24539,50388,72973,6171,79437,973,23405,50026,72171,4905,-2068,-550,-1134,-362,-1496,-802,1,NA,NA,NA,NA,"GLENS FALLS","NY",-73.6446,43.3089,NA,"Glens Falls",36,"NY","New York",113,"Warren",2975,518,"518/838","Eastern",-5,"Y","Glens Falls","Queensbury",NA,"GLENSFALLS","NEWYORK",NA,NA,NA
"34","2018",151215,3788,41633,99809,135001,12904,144970,3360,39010,96964,129722,11930,-6245,-428,-2623,-2845,-5468,-5279,0,NA,NA,NA,NA,"MINERVA","NY",-73.997818,43.787706,NA,"Minerva",36,"NY","New York",31,"Essex",0,518,"518/838","Eastern",-5,"Y","Minerva",NA,NA,"MINERVA","NEWYORK",NA,NA,NA
"35","2018",44359,434,11435,28505,39293,3117,38695,217,9342,25149,35167,1813,-5664,-217,-2093,-3356,-5449,-4126,-141,NA,NA,NA,NA,"PLATTSBURGH","NY",-73.4631,44.72796,NA,"Plattsburgh",36,"NY","New York",19,"Clinton",0,518,"518/838","Eastern",-5,"Y","Plattsburgh",NA,"Beekmantown||South Plattsburgh","PLATTSBURGH","NEWYORK",NA,NA,NA
"36","2018",13913,11,3010,9163,11380,1647,11336,12,2398,7463,9419,1189,-2577,1,-612,-1700,-2312,-1961,18,3197368,128256,118408,3444032,"CRANBERRY LAKE","NY",-74.832828,44.220251,"P","Cranberry Lake",36,"NY","New York",89,"Saint Lawrence",0,315,"315/680","Eastern",-5,"Y","Cranberry Lake","Cranberry Lk",NA,"CRANBERRYLAKE","NEWYORK",-0.000723094745428115,7.79690618762475e-06,-0.000569390760596882
"37","2018",8978,92,2078,5937,7404,1036,7813,56,1591,5392,6745,710,-1165,-36,-487,-545,-1032,-659,-180,1822904,84796,34712,1942412,"AUBURN","NY",-76.559964,42.920644,NA,"Auburn",36,"NY","New York",11,"Cayuga",8160,315,"315/680","Eastern",-5,"Y","Auburn","Owasco||Sennett","Aurelius||Fleming||Fosterville||Throop","AUBURN","NEWYORK",-0.000566129648078012,-0.000424548327751309,-0.00033926890896473
